"image,location,duration,title"
"https://images.pexels.com/photos/1530259/pexels-photo-1530259.jpeg?auto=compress&cs=tinysrgb&w=600,""Paris, France"",5 Days,Experience the Romance of Paris"
"https://source.unsplash.com/featured/?newyork,""New York, USA"",7 Days,The Ultimate New York Adventure"
"https://source.unsplash.com/featured/?tokyo,""Tokyo, Japan"",4 Days,Discover the Wonders of Tokyo"
"https://source.unsplash.com/featured/?sydney,""Sydney, Australia"",6 Days,Sydney: Beaches and Beyond"
"https://source.unsplash.com/featured/?dubai,""Dubai, UAE"",3 Days,Luxury and Adventure in Dubai"
"https://source.unsplash.com/featured/?rome,""Rome, Italy"",5 Days,Historical Rome: A Journey Through Time"
"https://source.unsplash.com/featured/?bangkok,""Bangkok, Thailand"",4 Days,Vibrant Bangkok: City of Angels"
"https://source.unsplash.com/featured/?london,""London, UK"",5 Days,London: A Blend of Tradition and Modernity"
"https://source.unsplash.com/featured/?bali,""Bali, Indonesia"",7 Days,Bali: Paradise on Earth"
"https://source.unsplash.com/featured/?cape_town,""Cape Town, South Africa"",6 Days,Explore the Beauty of Cape Town"
"https://source.unsplash.com/featured/?barcelona,""Barcelona, Spain"",5 Days,Barcelona: Art and Architecture"
"https://source.unsplash.com/featured/?singapore,Singapore,4 Days,Singapore: A Modern Marvel"
"https://source.unsplash.com/featured/?venice,""Venice, Italy"",3 Days,Venice: City of Canals"
"https://source.unsplash.com/featured/?cairo,""Cairo, Egypt"",6 Days,Explore Ancient Cairo"
"https://source.unsplash.com/featured/?amsterdam,""Amsterdam, Netherlands"",4 Days,Amsterdam: City of Canals and Culture"
"https://source.unsplash.com/featured/?moscow,""Moscow, Russia"",5 Days,Moscow: A Historical Journey"
"https://source.unsplash.com/featured/?buenos_aires,""Buenos Aires, Argentina"",7 Days,Buenos Aires: Tango and Culture"
"https://source.unsplash.com/featured/?lisbon,""Lisbon, Portugal"",4 Days,Discover the Charm of Lisbon"
"https://source.unsplash.com/featured/?istanbul,""Istanbul, Turkey"",5 Days,Istanbul: Where East Meets West"
"https://source.unsplash.com/featured/?mumbai,""Mumbai, India"",4 Days,Mumbai: City of Dreams"
"https://source.unsplash.com/featured/?san_francisco,""San Francisco, USA"",5 Days,Explore San Francisco"
"https://source.unsplash.com/featured/?athens,""Athens, Greece"",3 Days,Athens: Cradle of Civilization"
"https://source.unsplash.com/featured/?toronto,""Toronto, Canada"",4 Days,Toronto: A Vibrant City"
"https://source.unsplash.com/featured/?seoul,""Seoul, South Korea"",5 Days,Discover Seoul"
"https://source.unsplash.com/featured/?prague,""Prague, Czech Republic"",4 Days,Prague: City of a Hundred Spires"
"https://source.unsplash.com/featured/?beijing,""Beijing, China"",6 Days,Explore Beijing"
"https://source.unsplash.com/featured/?vienna,""Vienna, Austria"",4 Days,Vienna: City of Music"
"https://source.unsplash.com/featured/?berlin,""Berlin, Germany"",5 Days,Berlin: History and Modernity"
"https://source.unsplash.com/featured/?rio,""Rio de Janeiro, Brazil"",7 Days,Rio: Carnival and Beaches"
"https://source.unsplash.com/featured/?mexico_city,""Mexico City, Mexico"",5 Days,Discover Mexico City"
